"","x"
"1",0.484204957150616
"2",0.481776399833734
"3",0.484660038791211
"4",0.497598589533759
"5",0.494050077143502
"6",0.486403075222315
"7",0.48329404154443
"8",0.47761310047999
"9",0.359393819080443
"10",0.36777136512392
"11",0.348612520895276
"12",0.321699364123102
"13",0.24287034125496
"14",0.350266165255844
"15",0.416902763997659
"16",0.399930533926075
"17",0.399783835363271
"18",0.404241812494042
"19",0.412809731316729
"20",0.41999563662931
"21",0.417598296942991
"22",0.472193768194479
"23",0.471987626802532
"24",0.505309712523336
"25",0.458643589782222
"26",0.483905142662114
"27",0.534588225618978
"28",0.536152127658567
"29",0.546779590205978
"30",0.595936445250859
"31",0.608183627133166
"32",0.615051555123946
"33",0.582395300127029
"34",0.598113425554739
"35",0.619066941715299
"36",0.641586382972199
"37",0.643084879535643
"38",0.656371078016975
"39",0.657255547194798
"40",0.656825909158953
"41",0.643294305952434
"42",0.680282952972471
"43",0.692818584326334
"44",0.704597343888114
"45",0.716005236759013
"46",0.719323569144693
"47",0.721217324252515
"48",0.723451376735184
"49",0.730552388770076
"50",0.731184558719414
"51",0.731362139954181
"52",0.704181614983973
"53",0.704493370838652
"54",0.70211990109479
"55",0.707462683019332
"56",0.698569965424197
"57",0.694294554023503
"58",0.696878170081615
"59",0.643480090687424
"60",0.63879977214573
"61",0.634902435239503
"62",0.637711689960237
"63",0.63558183182274
"64",0.632683164352673
"65",0.640062469251761
"66",0.629966920552521
"67",0.602769501146326
"68",0.584860022093091
"69",0.575791648622327
"70",0.572379333817102
"71",0.560903004646494
"72",0.563872923723486
"73",0.57305735232286
"74",0.570816216600634
"75",0.563614915745878
"76",0.564161688108964
"77",0.565829653238676
"78",0.562447958301697
"79",0.562912642786056
"80",0.561717261044099
"81",0.562131321822293
"82",0.554831756239075
"83",0.548719438871689
"84",0.540882664980046
"85",0.553171227621814
"86",0.555833152496806
"87",0.52427009421533
"88",0.517818477273456
"89",0.514708104291546
"90",0.49771020107271
"91",0.484581092767144
"92",0.487824015021982
"93",0.49395609341443
"94",0.486228381299957
"95",0.474903798880694
"96",0.468073961719164
"97",0.465645839111754
"98",0.458057234581237
"99",0.457490556971334
"100",0.458252401709916
"101",0.452414990625776
"102",0.409552164639427
"103",0.404294710152324
"104",0.408186543616238
"105",0.378463516511226
"106",0.383058216894003
"107",0.384803531690798
"108",0.377274518269372
"109",0.370249941800275
"110",0.371877536264478
"111",0.366669149571295
"112",0.382927315273671
"113",0.382167050078257
"114",0.384120689005555
"115",0.34757413765063
"116",0.349748532714527
"117",0.352923001550181
"118",0.333560417757455
"119",0.358981450372628
"120",0.344070414245161
"121",0.351857321305971
"122",0.355007687420717
"123",0.359137700335452
"124",0.359218235692895
"125",0.375302526292688
"126",0.368893769048601
"127",0.378947736061593
"128",0.400943926218127
"129",0.410344888464089
"130",0.420457943858046
"131",0.416242196743503
"132",0.427957747661261
"133",0.383629606929844
"134",0.380237782538007
"135",0.392082432073456
"136",0.392496243442511
"137",0.396615903950691
"138",0.404658534173933
"139",0.409705520461671
"140",0.412643449811916
"141",0.412852131171706
"142",0.406075731930569
"143",0.420435433522268
"144",0.427663157853765
"145",0.428098084340668
"146",0.42515190866213
"147",0.46486403235187
"148",0.472516823583714
"149",0.480041788957481
"150",0.482223298469843
"151",0.480826892663122
"152",0.461778814358774
"153",0.462749546053209
"154",0.459593272295456
"155",0.462049525610273
"156",0.458402509753465
"157",0.458355553032626
"158",0.458734654930802
"159",0.45280353059231
"160",0.444385956936463
"161",0.448099546164005
"162",0.476694159271924
"163",0.472110523081925
"164",0.46053839965336
"165",0.477635458954549
"166",0.46912331022144
"167",0.465647296186479
"168",0.505781310541843
"169",0.50653463478904
"170",0.505249751864306
"171",0.465860193908885
"172",0.487671843851663
"173",0.512884563217013
"174",0.513804653066687
"175",0.523457403446947
"176",0.523985332840135
"177",0.508184464145275
"178",0.48926873147267
"179",0.487933417730532
"180",0.489457498473846
"181",0.473411432327991
"182",0.470972380994793
"183",0.500618712819326
"184",0.506762279758926
"185",0.45993051346787
"186",0.504365198037199
"187",0.501691373369083
"188",0.455889540376836
"189",0.448043466585628
"190",0.436850248694425
"191",0.442718342448422
"192",0.417057800448669
"193",0.401924854457291
"194",0.392332220782815
"195",0.390582987088456
"196",0.407969658175815
"197",0.42309103998802
"198",0.463380185224689
"199",0.438656327538588
"200",0.434106907510578
"201",0.471299617019357
"202",0.478120019982478
"203",0.48163774655687
"204",0.471681700162195
"205",0.47463537309048
"206",0.479928105169658
"207",0.50067876211461
"208",0.511873566759545
"209",0.512236134880275
"210",0.516617651008416
"211",0.478983124988645
"212",0.503741044203919
"213",0.497438509381314
"214",0.475897772317698
"215",0.470766013314872
"216",0.408424820950786
"217",0.383421324811791
"218",0.445011161874289
"219",0.465293434454083
"220",0.491464001960919
"221",0.430675434450257
"222",0.431488092175421
"223",0.392286654249445
"224",0.389865207841758
"225",0.392481570477282
"226",0.402029646758265
"227",0.331258801883201
"228",0.327133445874954
"229",0.31456135255484
"230",0.311782538133626
"231",0.457889902337449
"232",0.473542634804914
"233",0.436276354072225
"234",0.524392219577581
"235",0.527939328291801
"236",0.536618374597759
"237",0.611041951335033
"238",0.595279595639838
"239",0.60784797760148
"240",0.606917733887005
"241",0.607675279466085
"242",0.597869003110504
"243",0.597221459452828
"244",0.566095028043168
"245",0.542936066990162
"246",0.498105864250666
"247",0.428478536349874
"248",0.436885021472727
"249",0.438605302022389
"250",0.429259215641529
"251",0.442908716398562
"252",0.419168645487326
"253",0.465750351215822
"254",0.477970223636559
"255",0.47653704657892
"256",0.463404840608073
"257",0.456203782655455
"258",0.445316082767426
"259",0.454519551002974
"260",0.451368619980296
"261",0.443928296959872
"262",0.452108448933508
"263",0.453742000163701
"264",0.444503381479864
"265",0.445684769570251
"266",0.43722923098661
"267",0.431858386973597
"268",0.413467523265082
"269",0.410585154210855
"270",0.38908866620961
"271",0.391988881028938
"272",0.392366034952466
"273",0.392808181367318
"274",0.399062770799982
"275",0.400976036305936
"276",0.417314049286088
"277",0.3855650549426
"278",0.369350427795493
"279",0.381603411585026
"280",0.389396992031438
"281",0.404794879776509
"282",0.414791281349593
"283",0.410006046970554
"284",0.410647567845042
"285",0.412076662816803
"286",0.415794246979431
"287",0.43047690619588
"288",0.436751618239944
"289",0.450713060703886
"290",0.450375080905591
"291",0.457672870194308
"292",0.446177609893361
"293",0.44520165572055
"294",0.489863891258587
"295",0.502808813082972
"296",0.500981955598206
"297",0.486311354672867
"298",0.504161071490267
"299",0.480690082566778
"300",0.477890091412942
"301",0.477744487600727
"302",0.481973801789755
"303",0.471715041940843
"304",0.470845704453123
"305",0.477739158676732
"306",0.481407010353291
"307",0.500492552581218
"308",0.511325854211685
"309",0.509463304171975
"310",0.508138327492278
"311",0.502960873973657
"312",0.502649560598878
"313",0.482315532097305
"314",0.491210358417749
"315",0.486933871439483
"316",0.489758784384562
"317",0.481899729690292
"318",0.473133762515749
"319",0.462725526988718
"320",0.46286105683345
"321",0.46239567694769
"322",0.461762567416781
"323",0.460757276921823
"324",0.464477988857022
"325",0.459836960668
"326",0.467479976104278
"327",0.466561531298469
"328",0.479493256264698
"329",0.482080664611967
"330",0.493374429558094
"331",0.513769043356177
"332",0.510323861335114
"333",0.512567617021039
"334",0.510833704952431
"335",0.510506407390918
"336",0.509103316572156
