time,Portfolio,,,,,
02/06/2022,-0.00236563,,,,,
03/06/2022,-0.005209853,,,,,
06/06/2022,-0.001067844,,,,,
07/06/2022,0.004925498,,,,,
08/06/2022,0.011219209,,,,,
09/06/2022,0.004286008,,,,,
10/06/2022,-0.010985304,,,,,
13/06/2022,-0.040080283,,,,,
14/06/2022,-0.021006003,,,,,
15/06/2022,-0.010442866,,,,,
16/06/2022,0.016835325,,,,,
17/06/2022,-0.033435571,,,,,
20/06/2022,0.007770967,,,,,
21/06/2022,0.04098252,,,,,
22/06/2022,-0.015543117,,,,,
23/06/2022,0.008116435,,,,,
24/06/2022,0.004572824,,,,,
27/06/2022,0.00068202,,,,,
28/06/2022,0.003769317,,,,,
29/06/2022,0.003685032,,,,,
30/06/2022,-0.003865388,,,,,
01/07/2022,0.007062637,,,,,
04/07/2022,0.004708144,,,,,
05/07/2022,-0.000923074,,,,,
06/07/2022,-0.005024986,,,,,
07/07/2022,0.009665673,,,,,
08/07/2022,0.004237323,,,,,
11/07/2022,-0.001760016,,,,,
12/07/2022,0.005467921,,,,,
13/07/2022,-0.00480111,,,,,
14/07/2022,-0.000583108,,,,,
15/07/2022,-0.004733248,,,,,
18/07/2022,-0.001636079,,,,,
19/07/2022,0.004985404,,,,,
20/07/2022,0.003992134,,,,,
21/07/2022,0.003149132,,,,,
22/07/2022,-0.007525893,,,,,
25/07/2022,-0.000610647,,,,,
26/07/2022,-0.006939147,,,,,
27/07/2022,0.004511799,,,,,
28/07/2022,0.002595321,,,,,
29/07/2022,0.002072969,,,,,
01/08/2022,0.009527737,,,,,
02/08/2022,-0.001217012,,,,,
03/08/2022,0.001567433,,,,,
04/08/2022,-0.000223475,,,,,
05/08/2022,-0.007362767,,,,,
08/08/2022,-0.000276163,,,,,
09/08/2022,0.001660037,,,,,
10/08/2022,0.000642434,,,,,
11/08/2022,-0.007619924,,,,,
12/08/2022,0.003693293,,,,,
15/08/2022,0.000978569,,,,,
16/08/2022,0.004733798,,,,,
17/08/2022,0.018634641,,,,,
18/08/2022,0.004881193,,,,,
19/08/2022,0.001385611,,,,,
22/08/2022,-0.009958111,,,,,
23/08/2022,0.014247058,,,,,
24/08/2022,0.014467029,,,,,
25/08/2022,0.001851015,,,,,
26/08/2022,-0.00725287,,,,,
29/08/2022,-0.015464589,,,,,
30/08/2022,5.67712E-05,,,,,
31/08/2022,-0.001444806,,,,,
05/09/2022,0.01043791,,,,,
06/09/2022,0.002368602,,,,,
07/09/2022,-0.015073087,,,,,
08/09/2022,-0.001605597,,,,,
09/09/2022,0.001954957,,,,,
12/09/2022,0.002266,,,,,
13/09/2022,0.003697379,,,,,
14/09/2022,-0.018334513,,,,,
15/09/2022,0.005670787,,,,,
16/09/2022,-0.000348579,,,,,
19/09/2022,-0.00935108,,,,,
20/09/2022,0.005651356,,,,,
21/09/2022,0.00261485,,,,,
22/09/2022,0.005459353,,,,,
23/09/2022,-0.001923269,,,,,
26/09/2022,-0.020679091,,,,,
27/09/2022,-0.00397916,,,,,
28/09/2022,-0.018991588,,,,,
29/09/2022,0.015848947,,,,,
30/09/2022,-0.005341443,,,,,
03/10/2022,-0.029252658,,,,,
04/10/2022,-0.007619183,,,,,
05/10/2022,0.013000215,,,,,
06/10/2022,-0.027185765,,,,,
07/10/2022,-0.024756437,,,,,
10/10/2022,0.005877586,,,,,
11/10/2022,-0.011508709,,,,,
12/10/2022,0.022156105,,,,,
13/10/2022,0.023613318,,,,,
14/10/2022,0.021301734,,,,,
17/10/2022,-0.007772478,,,,,
18/10/2022,0.019859824,,,,,
19/10/2022,-0.003555687,,,,,
20/10/2022,0.006606491,,,,,
21/10/2022,-0.017928053,,,,,
24/10/2022,-0.031574827,,,,,
25/10/2022,0.020618608,,,,,
26/10/2022,0.002210527,,,,,
27/10/2022,0.027803283,,,,,
28/10/2022,0.000472433,,,,,
31/10/2022,0.000950566,,,,,
01/11/2022,0.007713685,,,,,
02/11/2022,-0.015028755,,,,,
03/11/2022,0.003567782,,,,,
04/11/2022,-0.014158007,,,,,
07/11/2022,0.008307866,,,,,
08/11/2022,0.002325851,,,,,
09/11/2022,-0.012441457,,,,,
10/11/2022,-0.027655394,,,,,
11/11/2022,0.003160355,,,,,
14/11/2022,-0.002083241,,,,,
15/11/2022,-0.02130072,,,,,
16/11/2022,0.001244731,,,,,
17/11/2022,0.019601078,,,,,
18/11/2022,0.006015265,,,,,
21/11/2022,-1.04787E-05,,,,,
22/11/2022,0.005254106,,,,,
23/11/2022,8.92344E-05,,,,,
24/11/2022,0.013022459,,,,,
25/11/2022,0.01076315,,,,,
28/11/2022,0.009958286,,,,,
29/11/2022,0.004296872,,,,,
30/11/2022,0.000551371,,,,,
01/12/2022,0.003331396,,,,,
02/12/2022,0.017453588,,,,,
05/12/2022,0.013105695,,,,,
06/12/2022,-0.028194101,,,,,
07/12/2022,-0.002629847,,,,,
08/12/2022,-0.007778969,,,,,
09/12/2022,-0.001925642,,,,,
12/12/2022,-0.008646579,,,,,
13/12/2022,0.003128421,,,,,
14/12/2022,-0.000712039,,,,,
15/12/2022,0.001183197,,,,,
16/12/2022,0.01462292,,,,,
19/12/2022,-0.00630525,,,,,
20/12/2022,0.004254085,,,,,
21/12/2022,0.009708207,,,,,
22/12/2022,3.84102E-05,,,,,
23/12/2022,-0.001749819,,,,,
26/12/2022,-0.004447207,,,,,
27/12/2022,0.005721323,,,,,
28/12/2022,-0.000916697,,,,,
29/12/2022,0.000684933,,,,,
30/12/2022,-0.005543663,,,,,
03/01/2023,0.021580441,,,,,
04/01/2023,0.001006874,,,,,
05/01/2023,0.008263381,,,,,
06/01/2023,0.002669999,,,,,
09/01/2023,0.00715473,,,,,
10/01/2023,0.008745131,,,,,
11/01/2023,-0.000615973,,,,,
12/01/2023,-0.001307586,,,,,
13/01/2023,0.004130846,,,,,
16/01/2023,-0.002671192,,,,,
17/01/2023,-0.000239501,,,,,
18/01/2023,0.011438192,,,,,
19/01/2023,0.012223572,,,,,
27/01/2023,-0.011291392,,,,,
30/01/2023,-0.010011595,,,,,
31/01/2023,0.008326034,,,,,
01/02/2023,-0.008005568,,,,,
02/02/2023,0.001195877,,,,,
03/02/2023,-0.008065874,,,,,
06/02/2023,0.010757411,,,,,
07/02/2023,-0.003979019,,,,,
08/02/2023,-0.001202937,,,,,
09/02/2023,-0.002288539,,,,,
10/02/2023,0.003923767,,,,,
13/02/2023,-0.005329948,,,,,
14/02/2023,-0.0043094,,,,,
15/02/2023,0.015517559,,,,,
16/02/2023,0.005427768,,,,,
17/02/2023,-0.002138121,,,,,
20/02/2023,0.014649529,,,,,
21/02/2023,-0.004255428,,,,,
22/02/2023,-0.007413328,,,,,
23/02/2023,0.004658077,,,,,
24/02/2023,-0.020106252,,,,,
27/02/2023,-0.001597284,,,,,
28/02/2023,0.004777873,,,,,
01/03/2023,0.015003371,,,,,
02/03/2023,-0.005833636,,,,,
03/03/2023,-0.00834875,,,,,
06/03/2023,-0.030547965,,,,,
07/03/2023,0.025643913,,,,,
08/03/2023,0.007675738,,,,,
09/03/2023,-0.001248258,,,,,
10/03/2023,-0.002699647,,,,,
13/03/2023,-7.02669E-05,,,,,
14/03/2023,-0.010474257,,,,,
15/03/2023,0.010515087,,,,,
16/03/2023,-0.007662949,,,,,
17/03/2023,-0.010034866,,,,,
20/03/2023,-0.006290672,,,,,
21/03/2023,-0.001166868,,,,,
22/03/2023,0.003764736,,,,,
23/03/2023,0.007850327,,,,,
24/03/2023,-0.000263078,,,,,
27/03/2023,-0.003238467,,,,,
28/03/2023,-0.000857391,,,,,
29/03/2023,0.002389893,,,,,
30/03/2023,0.001413768,,,,,
31/03/2023,0.000706509,,,,,
03/04/2023,0.006993664,,,,,
04/04/2023,0.000263062,,,,,
05/04/2023,0.005279619,,,,,
06/04/2023,-0.005229169,,,,,
07/04/2023,0.0010842,,,,,
10/04/2023,0.001076985,,,,,
11/04/2023,-0.001233548,,,,,
12/04/2023,0.000402447,,,,,
13/04/2023,0.00645086,,,,,
14/04/2023,0.000176368,,,,,
17/04/2023,-0.006171897,,,,,
18/04/2023,0.004404215,,,,,
19/04/2023,-0.009543337,,,,,
20/04/2023,-0.000728568,,,,,
21/04/2023,0.001498687,,,,,
24/04/2023,0.012776025,,,,,
