time;DBD;HPG;VNM;ACB;;;;;;;;;;;;;
12/09/2022;0,020474488;0;-0,007833733;-0,010660981;;;;;;;;;;;;;
13/09/2022;0,003503185;-0,004437049;0,005317435;0,002155172;;;;;;;;;;;;;
14/09/2022;-0,018724215;0;-0,022599776;-0,01218638;;;;;;;;;;;;;
15/09/2022;0,007115136;-0,003899721;0,006887504;0,002177068;;;;;;;;;;;;;
16/09/2022;-0,010597303;-0,025727069;0,020032573;-0,017378711;;;;;;;;;;;;;
19/09/2022;-0,005842259;-0,014925373;-0,010538081;-0,012527634;;;;;;;;;;;;;
20/09/2022;0,004570682;0,015151515;0,00806842;0,001492537;;;;;;;;;;;;;
21/09/2022;-0,000974976;-0,00401837;0,014406915;-0,01266766;;;;;;;;;;;;;
22/09/2022;0,009433962;0,004034582;0;0,009056604;;;;;;;;;;;;;
23/09/2022;0,003544956;-0,012629162;-0,002524854;-0,008975318;;;;;;;;;;;;;
26/09/2022;-0,007064868;-0,013372093;-0,035279228;-0,018113208;;;;;;;;;;;;;
27/09/2022;0,007115136;0;-0,021482453;0,009223674;;;;;;;;;;;;;
28/09/2022;-0,030507386;-0,027106659;-0,00837942;-0,017517136;;;;;;;;;;;;;
29/09/2022;0,030142431;-0,006662629;0,012506338;0;;;;;;;;;;;;;
30/09/2022;-0,011575563;-0,020731707;-0,005508262;0,008527132;;;;;;;;;;;;;
03/10/2022;-0,039362394;-0,068493151;-0,017959047;-0,026902383;;;;;;;;;;;;;
04/10/2022;0;-0,045454545;-0,001367288;-0,02764613;;;;;;;;;;;;;
05/10/2022;0,028445648;0,018907563;0,009926408;-0,009748172;;;;;;;;;;;;;
06/10/2022;-0,023049062;-0,062542955;-0,02236909;-0,038556194;;;;;;;;;;;;;
07/10/2022;-0,024603977;-0,022727273;-0,002946785;-0,067406143;;;;;;;;;;;;;
10/10/2022;0;0,04276069;0,010083449;0,002744739;;;;;;;;;;;;;
11/10/2022;0,012785073;-0,046043165;-0,004302926;-0,063868613;;;;;;;;;;;;;
12/10/2022;-0,005117707;0,068627451;0,020051858;0,068226121;;;;;;;;;;;;;
13/10/2022;-0,00994513;0,042342978;0,030672767;0,067518248;;;;;;;;;;;;;
14/10/2022;0,030481469;-0,002708192;0,002630714;0,044444444;;;;;;;;;;;;;
17/10/2022;-0,024537815;-0,010183299;0,001475894;0,004909984;;;;;;;;;;;;;
18/10/2022;0,008614748;-0,020576132;0,032421811;0,021986971;;;;;;;;;;;;;
