"","mean","StdDev","out","w.VNM","w.DBD","w.HPG","w.ACB"
"result.17",0.000501095464350913,0.0101963098404974,0.000103964734363425,0.387358631049149,0.371115684953063,0.0315445660452124,0.209981117952575
"result.18",0.000501409984258827,0.0101963934446708,0.000103966439278525,0.386860738055634,0.371269961952917,0.0315738881888825,0.210295411802567
"result.19",0.000501724504166741,0.0101964821150146,0.000103968247521812,0.386362845062118,0.37142423895277,0.0316032103325525,0.210609705652559
"result.20",0.000502039024074656,0.0101965758513968,0.000103970159093288,0.385864952068603,0.371578515952623,0.0316325324762226,0.210923999502552
"result.21",0.00050235354398257,0.0101966746536776,0.000103972173992951,0.385367059075087,0.371732792952477,0.0316618546198926,0.211238293352544
"result.22",0.000502668063890484,0.0101967785217098,0.000103974292220802,0.384869166081571,0.37188706995233,0.0316911767635627,0.211552587202536
"result.23",0.000502982583798398,0.0101968874553386,0.000103976513776841,0.384371273088056,0.372041346952183,0.0317204989072327,0.211866881052529
"result.24",0.000503297103706313,0.0101970014544016,0.000103978838661068,0.38387338009454,0.372195623952036,0.0317498210509028,0.212181174902521
"result.25",0.000503611623614227,0.010197120518729,0.000103981266873483,0.383375487101024,0.37234990095189,0.0317791431945728,0.212495468752513
"result.26",0.000503926143522141,0.0101972446481432,0.000103983798414086,0.382877594107509,0.372504177951743,0.0318084653382429,0.212809762602506
"result.27",0.000504240663430055,0.0101973738424594,0.000103986433282876,0.382379701113993,0.372658454951596,0.0318377874819129,0.213124056452498
"result.28",0.00050455518333797,0.0101975081014851,0.000103989171479855,0.381881808120477,0.372812731951449,0.031867109625583,0.21343835030249
"result.29",0.000504869703245884,0.0101976474250202,0.000103992013005021,0.381383915126962,0.372967008951303,0.031896431769253,0.213752644152482
"result.30",0.000505184223153798,0.0101977918128571,0.000103994957858375,0.380886022133446,0.373121285951156,0.0319257539129231,0.214066938002475
"result.31",0.000505498743061712,0.0101979412647807,0.000103998006039917,0.38038812913993,0.373275562951009,0.0319550760565931,0.214381231852467
"result.32",0.000505813262969626,0.0101980957805684,0.000104001157549647,0.379890236146415,0.373429839950863,0.0319843982002632,0.214695525702459
"result.33",0.000506127782877541,0.01019825535999,0.000104004412387564,0.379392343152899,0.373584116950716,0.0320137203439332,0.215009819552452
"result.34",0.000506442302785455,0.0101984200028078,0.00010400777055367,0.378894450159383,0.373738393950569,0.0320430424876033,0.215324113402444
"result.35",0.000506756822693369,0.0101985897087766,0.000104011232047963,0.378396557165868,0.373892670950423,0.0320723646312733,0.215638407252436
"result.36",0.000507071342601283,0.0101987644776436,0.000104014796870445,0.377898664172352,0.374046947950276,0.0321016867749434,0.215952701102429
"result.37",0.000507385862509198,0.0101989443091486,0.000104018465021114,0.377400771178837,0.374201224950129,0.0321310089186134,0.216266994952421
"result.38",0.000507700382417112,0.0101991292030237,0.000104022236499971,0.376902878185321,0.374355501949982,0.0321603310622835,0.216581288802413
"result.39",0.000508014902325026,0.0101993191589937,0.000104026111307016,0.376404985191805,0.374509778949836,0.0321896532059536,0.216895582652406
"result.40",0.00050832942223294,0.0101995141767757,0.000104030089442248,0.37590709219829,0.374664055949689,0.0322189753496236,0.217209876502398
"result.41",0.000508643942140855,0.0101997142560794,0.000104034170905669,0.375409199204774,0.374818332949542,0.0322482974932936,0.21752417035239
"result.42",0.000508958462048769,0.0101999193966069,0.000104038355697277,0.374911306211258,0.374972609949395,0.0322776196369637,0.217838464202382
"result.43",0.000509272981956683,0.0102001295980528,0.000104042643817074,0.374413413217743,0.375126886949249,0.0323069417806338,0.218152758052375
"result.44",0.000509587501864597,0.0102003448601044,0.000104047035265058,0.373915520224227,0.375281163949102,0.0323362639243038,0.218467051902367
"result.45",0.000509902021772511,0.0102005651824411,0.00010405153004123,0.373417627230711,0.375435440948955,0.0323655860679739,0.218781345752359
"result.46",0.000510216541680426,0.0102007905647352,0.00010405612814559,0.372919734237196,0.375589717948809,0.0323949082116439,0.219095639602352
"result.47",0.00051053106158834,0.0102010210066511,0.000104060829578138,0.37242184124368,0.375743994948662,0.032424230355314,0.219409933452344
"result.48",0.000510845581496254,0.0102012565078461,0.000104065634338873,0.371923948250164,0.375898271948515,0.032453552498984,0.219724227302336
"result.49",0.000511160101404168,0.0102014970679698,0.000104070542427797,0.371426055256649,0.376052548948368,0.0324828746426541,0.220038521152329
"result.50",0.000511474621312083,0.0102017426866643,0.000104075553844908,0.370928162263133,0.376206825948222,0.0325121967863241,0.220352815002321
"result.51",0.000511789141219997,0.0102019933635642,0.000104080668590207,0.370430269269617,0.376361102948075,0.0325415189299942,0.220667108852313
"result.52",0.000512103661127911,0.0102022490982966,0.000104085886663694,0.369932376276102,0.376515379947928,0.0325708410736642,0.220981402702306
"result.53",0.000512418181035825,0.0102025098904813,0.000104091208065369,0.369434483282586,0.376669656947782,0.0326001632173343,0.221295696552298
"result.54",0.000512732700943739,0.0102027757397304,0.000104096632795232,0.36893659028907,0.376823933947635,0.0326294853610043,0.22160999040229
"result.55",0.000513047220851654,0.0102030466456487,0.000104102160853283,0.368438697295555,0.376978210947488,0.0326588075046744,0.221924284252282
"result.56",0.000513361740759568,0.0102033226078333,0.000104107792239521,0.367940804302039,0.377132487947342,0.0326881296483444,0.222238578102275
"result.57",0.000513676260667482,0.0102036036258739,0.000104113526953948,0.367442911308523,0.377286764947195,0.0327174517920145,0.222552871952267
"result.58",0.000513990780575396,0.010203889699353,0.000104119364996562,0.366945018315008,0.377441041947048,0.0327467739356845,0.222867165802259
"result.59",0.000514305300483311,0.0102041808278452,0.000104125306367364,0.366447125321492,0.377595318946901,0.0327760960793546,0.223181459652252
"result.60",0.000514619820391225,0.010204477010918,0.000104131351066354,0.365949232327977,0.377749595946755,0.0328054182230246,0.223495753502244
"result.61",0.000514934340299139,0.0102047782481312,0.000104137499093532,0.365451339334461,0.377903872946608,0.0328347403666947,0.223810047352236
"result.62",0.000515248860207053,0.0102050845390373,0.000104143750448898,0.364953446340945,0.378058149946461,0.0328640625103647,0.224124341202229
"result.63",0.000515563380114968,0.0102053958831812,0.000104150105132451,0.36445555334743,0.378212426946315,0.0328933846540348,0.224438635052221
"result.64",0.000515877900022882,0.0102057122801004,0.000104156563144193,0.363957660353914,0.378366703946168,0.0329227067977048,0.224752928902213
"result.65",0.000516192419930796,0.0102060337293251,0.000104163124484122,0.363459767360398,0.378520980946021,0.0329520289413749,0.225067222752206
"result.66",0.00051650693983871,0.0102063602303779,0.000104169789152239,0.362961874366883,0.378675257945874,0.0329813510850449,0.225381516602198
"result.67",0.000516821459746624,0.0102066917827739,0.000104176557148544,0.362463981373367,0.378829534945728,0.033010673228715,0.22569581045219
"result.68",0.000517135979654539,0.0102070283860209,0.000104183428473037,0.361966088379851,0.378983811945581,0.033039995372385,0.226010104302183
