time,rf,rm,,,,,,,,
14/11/2022,0.000198957,-0.01413261,,,,,,,,
15/11/2022,0.000199334,-0.03096574,,,,,,,,
16/11/2022,0.000199183,0.033994956,,,,,,,,
17/11/2022,0.000198504,0.027956305,,,,,,,,
18/11/2022,0.000198995,7.222E-05,,,,,,,,
21/11/2022,0.000198995,-0.008954639,,,,,,,,
22/11/2022,0.000199146,-0.008879405,,,,,,,,
23/11/2022,0.000199146,-0.006427761,,,,,,,,
24/11/2022,0.000199636,0.001807611,,,,,,,,
25/11/2022,0.000199636,0.025060409,,,,,,,,
28/11/2022,0.000199636,0.035235625,,,,,,,,
29/11/2022,0.000199485,0.026320238,,,,,,,,
30/11/2022,0.000199825,0.015753372,,,,,,,,
01/12/2022,0.000199976,-0.011579329,,,,,,,,
02/12/2022,0.000199976,0.04219902,,,,,,,,
05/12/2022,0.000199787,0.012648031,,,,,,,,
06/12/2022,0.000200051,-0.04112758,,,,,,,,
07/12/2022,0.000200051,-0.007313887,,,,,,,,
08/12/2022,0.000199372,0.009135271,,,,,,,,
09/12/2022,0.000199032,0.001218433,,,,,,,,
12/12/2022,0.000199032,-0.018767648,,,,,,,,
13/12/2022,0.000198844,0.01490209,,,,,,,,
14/12/2022,0.000198844,0.002845005,,,,,,,,
15/12/2022,0.000198504,0.004655236,,,,,,,,
16/12/2022,0.000198504,-0.002691127,,,,,,,,
19/12/2022,0.000198239,-0.013377926,,,,,,,,
20/12/2022,0.000198051,-0.014705316,,,,,,,,
21/12/2022,0.000198051,-0.00415392,,,,,,,,
22/12/2022,0.000197107,0.003660883,,,,,,,,
23/12/2022,0.000197107,-0.00221981,,,,,,,,
26/12/2022,0.000196918,-0.0344297,,,,,,,,
27/12/2022,0.000196918,0.019650633,,,,,,,,
28/12/2022,0.000196578,0.011039549,,,,,,,,
29/12/2022,0.000195218,-0.006271784,,,,,,,,
30/12/2022,0.000195029,-0.00217975,,,,,,,,
03/01/2023,0.000194689,0.036550854,,,,,,,,
04/01/2023,0.00019484,0.002346968,,,,,,,,
05/01/2023,0.000193631,0.009050509,,,,,,,,
06/01/2023,0.00019295,-0.004148434,,,,,,,,
09/01/2023,0.0001914,0.002634482,,,,,,,,
10/01/2023,0.000190568,-0.000815777,,,,,,,,
11/01/2023,0.000190227,0.002287938,,,,,,,,
12/01/2023,0.000187578,0.000596727,,,,,,,,
13/01/2023,0.000186896,0.003578224,,,,,,,,
16/01/2023,0.000186745,0.006140525,,,,,,,,
17/01/2023,0.000186745,0.020259122,,,,,,,,
18/01/2023,0.000186025,0.009179539,,,,,,,,
19/01/2023,0.000185685,0.008923043,,,,,,,,
27/01/2023,0.000184624,0.008140206,,,,,,,,
30/01/2023,0.00018307,-0.013006893,,,,,,,,
31/01/2023,0.000179961,0.007809028,,,,,,,,
01/02/2023,0.000173736,-0.031687035,,,,,,,,
02/02/2023,0.000169289,0.001505618,,,,,,,,
03/02/2023,0.000168071,-0.000408319,,,,,,,,
06/02/2023,0.000167919,0.011270482,,,,,,,,
07/02/2023,0.00016712,-0.021527784,,,,,,,,
08/02/2023,0.000167957,0.005985889,,,,,,,,
09/02/2023,0.000165446,-0.007638358,,,,,,,,
10/02/2023,0.000165331,-0.008204656,,,,,,,,
13/02/2023,0.000165217,-0.010992135,,,,,,,,
14/02/2023,0.000163465,-0.004848136,,,,,,,,
15/02/2023,0.000165217,0.009204344,,,,,,,,
16/02/2023,0.000167501,0.009626026,,,,,,,,
17/02/2023,0.00016887,0.000963819,,,,,,,,
20/02/2023,0.000169935,0.025847014,,,,,,,,
21/02/2023,0.000172634,-0.004104206,,,,,,,,
22/02/2023,0.000175787,-0.025826303,,,,,,,,
23/02/2023,0.000176812,-0.000588079,,,,,,,,
24/02/2023,0.000177609,-0.013381926,,,,,,,,
27/02/2023,0.000176394,-0.017613221,,,,,,,,
28/02/2023,0.000175901,0.003358629,,,,,,,,
01/03/2023,0.00017609,0.015487762,,,,,,,,
02/03/2023,0.000178102,-0.002825429,,,,,,,,
03/03/2023,0.000178292,-0.012374592,,,,,,,,
06/03/2023,0.000177912,0.002351747,,,,,,,,
07/03/2023,0.000176622,0.010377928,,,,,,,,
08/03/2023,0.000177647,0.01092654,,,,,,,,
09/03/2023,0.000175407,0.006452658,,,,,,,,
10/03/2023,0.000173356,-0.002793693,,,,,,,,
13/03/2023,0.000169365,-0.000189934,,,,,,,,
14/03/2023,0.000167234,-0.012034574,,,,,,,,
15/03/2023,0.000166055,0.021208887,,,,,,,,
16/03/2023,0.000159579,-0.013924063,,,,,,,,
17/03/2023,0.000159388,-0.002157724,,,,,,,,
20/03/2023,0.000156795,-0.021088084,,,,,,,,
21/03/2023,0.000155192,0.009119343,,,,,,,,
22/03/2023,0.000152367,0.007855254,,,,,,,,
23/03/2023,0.0001508,0.00438234,,,,,,,,
24/03/2023,0.000144376,0.00161707,,,,,,,,
27/03/2023,0.000147284,0.005215946,,,,,,,,
28/03/2023,0.000146404,0.001938703,,,,,,,,
29/03/2023,0.000145945,0.001934951,,,,,,,,
30/03/2023,0.00014472,0.002944156,,,,,,,,
31/03/2023,0.000135334,0.004908253,,,,,,,,
03/04/2023,0.000140049,0.013751127,,,,,,,,
04/04/2023,0.000138976,-0.000769031,,,,,,,,
05/04/2023,0.000139359,0.002234689,,,,,,,,
06/04/2023,0.000140356,-0.009205633,,,,,,,,
07/04/2023,0.000138325,-0.001120542,,,,,,,,
10/04/2023,0.000134682,-0.004075871,,,,,,,,
11/04/2023,0.000134413,0.003857887,,,,,,,,
12/04/2023,0.000133799,-9.35051E-06,,,,,,,,
13/04/2023,0.000136101,-0.004815559,,,,,,,,
14/04/2023,0.000135372,-0.010720661,,,,,,,,
17/04/2023,0.000133147,0.000873785,,,,,,,,
18/04/2023,0.000135641,0.001148215,,,,,,,,
19/04/2023,0.000134337,-0.00572501,,,,,,,,
20/04/2023,0.000134567,0.000257393,,,,,,,,
21/04/2023,0.000133416,-0.006042411,,,,,,,,
24/04/2023,0.000136178,-0.001486226,,,,,,,,
25/04/2023,0.000132379,-0.00625144,,,,,,,,
26/04/2023,0.000131727,0.005749626,,,,,,,,
27/04/2023,0.000130229,-0.001124135,,,,,,,,
28/04/2023,0.000131266,0.009128248,,,,,,,,
04/05/2023,0.000130037,-0.00811156,,,,,,,,
05/05/2023,0.00012754,-0.000288292,,,,,,,,
08/05/2023,0.000124772,0.012621238,,,,,,,,
09/05/2023,0.000123656,0.000313259,,,,,,,,
10/05/2023,0.000125118,0.004260892,,,,,,,,
11/05/2023,0.000122348,-0.00107724,,,,,,,,
12/05/2023,0.000121848,0.009251551,,,,,,,,
15/05/2023,0.000121848,-0.001115381,,,,,,,,
16/05/2023,0.000121309,0.000187668,,,,,,,,
17/05/2023,0.000121848,-0.005131765,,,,,,,,
18/05/2023,0.000120886,0.007421448,,,,,,,,
19/05/2023,0.000121001,-0.001160712,,,,,,,,
22/05/2023,0.00012281,0.00334561,,,,,,,,
23/05/2023,0.000122348,-0.00447396,,,,,,,,
24/05/2023,0.000122925,-0.003809166,,,,,,,,
25/05/2023,0.000126464,0.002674729,,,,,,,,
26/05/2023,0.000129154,-0.000817185,,,,,,,,
29/05/2023,0.000131189,0.010547492,,,,,,,,
30/05/2023,0.000128155,0.002855867,,,,,,,,
31/05/2023,0.000127694,-0.00267149,,,,,,,,
01/06/2023,0.000126233,0.002994875,,,,,,,,
02/06/2023,0.000124272,0.011544988,,,,,,,,
05/06/2023,0.000125156,0.006398739,,,,,,,,
06/06/2023,0.000124849,0.009555301,,,,,,,,
07/06/2023,0.000124541,0.001109798,,,,,,,,
08/06/2023,0.000125195,-0.007408476,,,,,,,,
09/06/2023,0.000123579,0.005638688,,,,,,,,
12/06/2023,0.000123618,0.007665707,,,,,,,,
13/06/2023,0.00012127,0.005770506,,,,,,,,
14/06/2023,0.000119538,-0.004490138,,,,,,,,
15/06/2023,0.000119807,-0.000402713,,,,,,,,
16/06/2023,0.000114837,-0.001566739,,,,,,,,
19/06/2023,0.000113372,-0.008805437,,,,,,,,
20/06/2023,0.00011179,0.005717387,,,,,,,,
21/06/2023,0.000111327,0.006062678,,,,,,,,
22/06/2023,0.000105109,0.006115552,,,,,,,,
23/06/2023,0.000107389,0.0036257,,,,,,,,
26/06/2023,0.00010538,0.00234642,,,,,,,,
27/06/2023,0.000105341,0.002031748,,,,,,,,
28/06/2023,0.000104259,0.003543942,,,,,,,,
29/06/2023,0.000105689,-0.011384899,,,,,,,,
30/06/2023,0.000107543,-0.004629506,,,,,,,,
03/07/2023,0.000112021,0.004749237,,,,,,,,
04/07/2023,0.000112523,0.005775211,,,,,,,,
05/07/2023,0.000111095,0.002314488,,,,,,,,
06/07/2023,0.00011206,-0.00740336,,,,,,,,
07/07/2023,0.000113989,0.010521923,,,,,,,,
10/07/2023,0.000111211,0.009621552,,,,,,,,
11/07/2023,0.000109088,0.002393344,,,,,,,,
12/07/2023,0.000110902,0.002109796,,,,,,,,
13/07/2023,0.000108741,0.009721019,,,,,,,,
14/07/2023,0.00010932,0.002557018,,,,,,,,
17/07/2023,0.000104684,0.004048271,,,,,,,,
18/07/2023,0.000104104,0.000818324,,,,,,,,
19/07/2023,0.000101977,-0.000945413,,,,,,,,
20/07/2023,0.00010101,-0.00014493,,,,,,,,
21/07/2023,0.000100352,0.011161228,,,,,,,,
24/07/2023,0.000101823,0.004064424,,,,,,,,
25/07/2023,0.000100469,0.004350309,,,,,,,,
26/07/2023,0.000101668,0.00413078,,,,,,,,
27/07/2023,9.94237E-05,-0.002922954,,,,,,,,
28/07/2023,9.99655E-05,0.008635882,,,,,,,,
31/07/2023,0.000100352,0.012611061,,,,,,,,
01/08/2023,9.78752E-05,-0.004366669,,,,,,,,
02/08/2023,9.90366E-05,0.002357173,,,,,,,,
03/08/2023,9.90366E-05,-0.007767754,,,,,,,,
